RA_degrees,DEC_degrees,Z,Distance_Mpc,r_mag_abs,gminusi
152.19308686246035,51.36500442336457,0.05618003,240.60462265695844,-21.838419,0.8911171
151.87563985208547,51.39482438262571,0.08990368,385.03435393060954,-20.801556,1.1312504
152.59869094000078,50.81260837299937,0.09025415,386.5353176576751,-20.738464,1.1059246
152.31322264703405,50.77489637742276,0.06780637,290.39724916900906,-20.803738,1.1433773
152.73264045679525,50.48969376896678,0.084017105,359.8236580320767,-20.559237,1.1032715
151.70336617976602,51.57675246123633,0.060132988,257.5341239673751,-21.102076,1.045332
152.26821464325795,50.71788822083131,0.06851114,293.4156097173691,-21.198591,1.1700745
151.15583698854002,51.36052847088898,0.0902347,386.45200346537996,-20.948092,0.95952225
151.78908788998893,50.805251604786406,0.08876895,380.1745933788163,-20.595472,1.2700233
151.72058535147667,50.57949941545129,0.089478016,383.21133346557616,-20.904602,1.0214252
151.77771846466618,50.40874941155212,0.06767287,289.8255051255226,-20.500282,1.2675209
151.74495745388708,50.39700867043393,0.064319864,275.4654377562659,-21.08404,1.1021862
151.31377271975492,50.3261935230328,0.06420334,274.9663822344371,-20.500912,1.0495319
150.66961510754743,51.79271887480167,0.06462236,276.7609399420874,-21.273918,1.0620728
150.71950508488075,50.64738656383268,0.06628775,283.8933814712933,-21.064016,1.0751934
150.30646316466374,51.4372885272324,0.063546136,272.1517601455961,-21.539593,1.1178627
150.27691908890264,51.10265412228852,0.051407177,220.16372010793006,-20.615425,1.1434727
150.0016662215324,51.17598863927369,0.09077486,388.76536831685473,-21.62624,0.93696404
150.2087038047118,51.07266681581849,0.050494865,216.25652061530522,-21.018507,1.21879
151.4188864208211,50.24758585920121,0.063498236,271.9466176935605,-21.655111,1.2207451
154.3586657019887,50.64851325775551,0.06319649,270.65430639982225,-21.607172,1.0173779
154.19833110873898,50.443431216440565,0.064316034,275.44903657095773,-20.595428,1.2526722
153.8507589561178,50.743057560302695,0.06334252,271.2797212481499,-20.635815,1.0924339
154.01252117277505,50.860793729361134,0.086388074,369.9779062730925,-20.595192,1.11133
153.17886712529622,50.626038373987434,0.022720952,97.30799311654908,-20.787512,0.97395325
153.2585926125559,50.10741315576088,0.0911011,390.16259614229205,-21.674099,0.78385544
153.0211999484316,50.82811475838927,0.081307,348.2169795325824,-20.67832,1.2404327
152.99477938530924,50.428005005749036,0.06375859,273.0616430231503,-21.620628,1.0702553
156.5905506662814,50.046370220327695,0.063616365,272.4525336333684,-22.588875,1.146986
152.90749280811772,53.353380391810205,0.08981709,384.66350845268795,-20.81032,1.1368809
152.51869813858968,53.49757274703164,0.034566008,148.0373219541141,-20.967684,1.156599
152.7576697314971,53.04073325291634,0.09692807,415.1179887652397,-21.150404,1.1236019
152.3889072743267,53.391134748089286,0.095156826,407.5322171977588,-21.56921,1.145647
153.3201607445391,52.806355047325944,0.09050459,387.60787221363614,-20.404137,1.1408825
153.3112996989405,52.84972629836207,0.08978638,384.53197988101414,-21.915998,1.1227913
153.30621690641922,52.92025721252196,0.090075925,385.7720243624278,-21.900051,1.2906227
